ID,Self_brand_promotion_video,Brand_partnership,Age_restriction,max_video_quality,Video_title,Video_category,Monetization,video_type,Posting_date,Video_of_influencer,Links_present,Video_duration,Subtitles_present,Video_language,No_of_comments,Mentions,Hashtags,No_of_likes,Does_post_include_others_social_media_details,no_of_views,video_link,sponsor_name,video_contains_Pramotion,Content_type
88,0,0,0,1440p,"EAFC 24 IS HERE! 😱 - BIGGEST CRATE OPENING WITH A TWIST | Scout is Live",Gaming,1,Livestream,2023-09-23,1,1,03:03:26,0,Hindi,68,,"#shorts #bgmi #gaming",16142,1,174266,https://www.youtube.com/live/Y1aZMoIelVc?si=R9FeoROuCVmOPUNf,,0,Game
89,0,0,0,1440p,"HI DOSTON",Gaming,1,Livestream,2023-09-19,1,1,03:50:21,0,Hindi,75,,"#shorts #bgmi #gaming",23033,1,268723,https://www.youtube.com/live/6eooeXlZEUY?si=CmnujTct8_58Ru5P,,0,Game
90,0,0,0,1440p,"#1 Always Trust The Process | Scout is live w BGMI",Gaming,1,Livestream,2023-09-17,1,1,06:19:09,0,Hindi,63,,"#shorts #bgmi #gaming",31887,1,388316,https://www.youtube.com/live/ZZOVdvZrMCE?si=W0w4BuUgc5IOBcFt,,0,Game
91,0,0,0,1440p,"MORTAL KOMBAT 1 | Tidal Embrace M416 Crate Opening DONE | Scout is Live",Gaming,1,Livestream,2023-09-15,1,1,06:05:11,0,Hindi,59,,"#shorts #bgmi #gaming",35204,1,406501,https://www.youtube.com/live/W0sY-q0zM0A?si=eJZKaApF2sGBcQRc,,0,Game
92,0,0,0,1440p,"34 CD WORLD RECORD DONE || Scout Is Live w BGMI",Gaming,1,Livestream,2023-09-12,1,1,04:51:04,0,Hindi,48,,"#shorts #bgmi #gaming",31076,1,415435,https://www.youtube.com/live/thN41wcy-aI?si=pHb7sIKbQE5KNeIY,,0,Game
93,0,0,0,1440p,"THE GRAND RACE DOMINIC IS BACK | Scout is live w GTA RP",Gaming,1,Livestream,2023-09-10,1,1,04:00:26,0,Hindi,90,,"#shorts #bgmi #gaming",24423,1,268219,https://www.youtube.com/live/CTqO7c2Ipss?si=HhAphgr4DJfrM7PU,,0,Game
94,0,0,0,1440p,"Dom is BACK! | Non-Stop Action Night | Scout is Live",Gaming,1,Livestream,2023-09-07,1,1,05:10:56,0,Hindi,71,,"#shorts #bgmi #gaming",35156,1,445095,https://www.youtube.com/live/5T44cbbUjdY?si=yrsGCAw8uCwgDOYI,,0,Game
95,0,0,0,1440p,"MIDNIGHT CRATE OPENING . | BGMI ||Scout Is Live",Gaming,1,Livestream,2023-09-06,1,1,03:31:18,0,Hindi,103,,"#shorts #bgmi #gaming",32419,1,359956,https://www.youtube.com/live/66SqWUtl9cM?si=nkhOSxgUIEex-_P4,,0,Game
96,0,0,0,1440p,"ROAD TO #20 Conqueror Lobby | Scout is live w BGMI",Gaming,1,Livestream,2023-08-30,1,1,06:12:19,0,Hindi,91,,"#shorts #bgmi #gaming",38622,1,537457,https://www.youtube.com/live/whEAJO4b-1U?si=cxGmqRzjAYJUlpo1,,0,Game
97,0,0,0,1440p,"100,000 UC X-Suit Crate Opening | Scout Is Live w BGMI",Gaming,1,Livestream,2023-08-24,1,1,05:28:34,0,Hindi,102,,"#shorts #bgmi #gaming",56553,1,683753,https://www.youtube.com/live/9L2uND0GTg0?si=d5wG9UV8Xv_0ZB0d,,0,Game
98,0,0,0,1440p,"NFS Payback | BGMI & Fall Guys Done | Scout is Live",Gaming,1,Livestream,2023-08-22,1,1,05:56:28,0,Hindi,41,,"#shorts #bgmi #gaming",34887,1,439985,https://www.youtube.com/live/bDpfYoLU59k?si=wP5SJVgh9nA3Fqyt,,0,Game
99,0,0,0,1440p,"AB KYA KHELE ? | Scout is Live w BGMI",Gaming,1,Livestream,2023-08-19,1,1,04:56:36,0,Hindi,41,,"#shorts #bgmi #gaming",33999,1,406851,https://www.youtube.com/live/PzmwS9WO7fc?si=5EB1OaFTxspUE-Eo,,0,Game
100,0,0,0,1440p,"LONG NIGHT STREAMS ARE BACK | Scout is Live w BGMI",Gaming,1,Livestream,2023-08-18,1,1,06:07:43,0,Hindi,61,,"#shorts #bgmi #gaming",35516,1,378540,https://www.youtube.com/live/7OsgLmuuRZQ?si=YZw7ucfduTHww-i1,,0,Game
101,0,0,0,1080p,"Celebrated My Birthday In Front Of 10,000+ People",Vlog,1,Longvideo,2024-07-31,1,1,00:20:54,0,Hindi,822,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",500,1,324431,https://youtu.be/jGAX8EQtHs8?si=w2MYd8Y7DHh4ESCt,,1,Vlog
102,0,0,0,1080p,"BGMI in Rohit Shetty Universe 😱 *EPIC*",Gaming,1,Longvideo,2024-07-24,1,1,00:09:54,0,Hindi,423,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",44671,1,566003,https://youtu.be/jmGQJulBFGE?si=F16_sbz2UtyIW2eY,,1,Game
103,0,0,0,1080p,"When Your Teammate Is Your Biggest Enemy 🥲",Gaming,1,Longvideo,2024-07-21,1,1,00:10:59,0,Hindi,1082,,"bgmi#vlog,scout#owais,owais#scout#sensei#vlog,scout#tournament,scout#pubg,scout#Pubg#vlog,scout#op",94048,1,1042073,https://youtu.be/57Vk7cuStjM?si=kGxl9jnauVbnYlTe,,0,Game
